held_out_animal,model,accuracy_mean,f1_mean,rmse_mean,latency_ms_mean,memory_mb_mean
16,STA-LSTM,0.9930303907380608,0.9899397028954304,30777.099609375,0.0125119888969035,0.7258491516113281
16,STA-LSTM-H,0.9926136034732272,0.9893162853619176,30205.158203125,0.0127627981716144,0.7258491516113281
16,1D-CNN,0.7892329956584659,0.7122857689032438,31665.337890625,0.0096467348764476,0.1528511047363281
16,XGBoost,0.7927641099855283,0.6810595481326217,,0.0032033655339617,4.243738174438477
16,GRU,0.7785586107091172,0.7010370560631375,29501.154296875,0.010138295479011,0.3380317687988281
16,LSTM,0.7790680173661361,0.6961224786946324,30584.9296875,0.010329768995656,0.4500923156738281
16,Transformer,0.7838610709117222,0.7112313783707088,30498.849609375,0.013761932248662,1.145526885986328
16,KF,,,2309.9505287529278,0.0186849796467941,0.0
16,EKF-HMM,,,2602.1874354512083,0.0190141971510135,0.0
17,STA-LSTM,0.992972503617945,0.9894617423026718,58442.30078125,0.0121246760875504,0.7258491516113281
17,STA-LSTM-H,0.9923936324167872,0.988738750459416,56969.3046875,0.01248338793616,0.7258491516113281
17,1D-CNN,0.8128972503617945,0.7644846180952992,57989.171875,0.0095686751367947,0.1528511047363281
17,XGBoost,0.8361331403762663,0.7790327939761384,,0.0035929552639272,4.249185562133789
17,LSTM,0.7748538350217077,0.724639327536068,69664.5859375,0.0099549987387079,0.4500923156738281
17,Transformer,0.8104081041968162,0.7609554662343182,57242.9453125,0.018112559804178,1.145526885986328
17,GRU,0.7541765557163531,0.7131836189383017,64891.33203125,0.0136786382402766,0.3380317687988281
17,KF,,,3416.9570893351924,0.018584752312488,0.0
17,EKF-HMM,,,3817.093819636294,0.0191105623499054,0.0
18,STA-LSTM,0.9935050651230102,0.9893067662535002,20754.009765625,0.0120465332674544,0.7258491516113281
18,STA-LSTM-H,0.9933661360347322,0.9891752180054398,25298.111328125,0.0166349624541039,0.7258491516113281
18,1D-CNN,0.7995369030390738,0.7226234902822705,27840.63671875,0.0134351922781375,0.1528511047363281
18,XGBoost,0.789534008683068,0.6993372766302768,,0.0031025805274717,4.252946853637695
18,GRU,0.7748538350217077,0.707337966133637,26114.796875,0.0136117616900163,0.3380317687988281
18,LSTM,0.7776555716353112,0.7040783602108632,33270.17578125,0.0139791186340961,0.4500923156738281
18,Transformer,0.7618176555716353,0.7061364310953152,27479.744140625,0.0125096158384629,1.145526885986328
18,KF,,,1168.1257867191237,0.0291511164910757,0.0
18,EKF-HMM,,,1332.4325054745102,0.0297189471722943,0.0
