animal,n_windows,model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,composite_score,rank,total_time_s
17,86400,LSTM,0.9097655571635312,0.0085013616636287,0.8800192169533212,0.0107293131994912,17622.4546875,393.98102239303273,0.0223498823850344,0.9088017904503314,2.0,2787.24
17,86400,STA-LSTM-H,0.9919768451519536,0.0013558938092695,0.9881529585556168,0.002082371632152,18354.664453125,192.1528821496264,0.0363700337716083,0.9080218916265156,3.0,2787.24
17,86400,GRU,0.915206946454414,0.0100109845613607,0.8877582030020058,0.0125372376153506,17056.023828125,417.6675227337035,0.0673929464311895,0.8712508797614807,4.0,2787.24
17,86400,Transformer,0.8441910274963821,0.0157389788976505,0.8040726608694433,0.013481214425585,20450.12421875,666.2769687799414,0.0634323064427871,0.7455581796611149,5.0,2787.24
17,86400,KF,,,,,3397.0886746255005,0.0181451016422878,0.0192884337251356,,,2787.24
17,86400,EKF-HMM,,,,,3803.7180435354576,2.593641386930927,0.0196997893943185,,,2787.24
18,86400,LSTM,0.9310911722141824,0.0090146881919937,0.9012704107411554,0.0116584133051466,5550.419921875,39.3030602127564,0.0216914950398251,0.9250112666434712,1.0,2826.34
18,86400,STA-LSTM,0.9930882778581768,0.0006815947220623,0.9885101831969466,0.0014106373822409,5794.80888671875,107.25327277651982,0.0348916646368079,0.9085801376116855,2.0,2826.34
18,86400,STA-LSTM-H,0.9932850940665702,0.0005241901671859,0.9889836344327116,0.0009339564857787,5738.47177734375,125.71086604526388,0.0366323033634805,0.9057846433089012,3.0,2826.34
18,86400,GRU,0.9465470332850942,0.0060284481782482,0.9232916806109858,0.008590436663215,5533.35126953125,87.37816299236282,0.0643532997274881,0.8960636692830355,4.0,2826.34
18,86400,Transformer,0.8714211287988421,0.0103786553632048,0.8205430885823167,0.0101445462466925,6192.6376953125,145.80819928808302,0.0533076660376036,0.7720497407934293,5.0,2826.34
18,86400,KF,,,,,1161.5606662673877,0.0070013380360292,0.0190458513571248,,,2826.34
18,86400,EKF-HMM,,,,,1325.219199495134,0.653315876636014,0.0192662639531284,,,2826.34
